date	fly_id	species	strain	sex	tastant_comparison	food_choice	NumberOfSips/1hour
2021-10-08	fly_154	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	209
2021-10-08	fly_154	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	343
2021-10-08	fly_155	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1627
2021-10-08	fly_155	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	724
2021-10-08	fly_156	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	902
2021-10-08	fly_156	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	561
2021-10-08	fly_157	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	58
2021-10-08	fly_157	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	248
2021-10-08	fly_158	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	167
2021-10-08	fly_158	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	247
2021-10-08	fly_159	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	680
2021-10-08	fly_159	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	208
2021-10-08	fly_160	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	2030
2021-10-08	fly_160	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	1343
2021-10-08	fly_161	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	982
2021-10-08	fly_161	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	395
2021-10-08	fly_162	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	363
2021-10-08	fly_162	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	578
2021-10-08	fly_163	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1560
2021-10-08	fly_163	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	246
2021-10-08	fly_164	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	1024
2021-10-08	fly_164	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	760
2021-10-08	fly_165	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	621
2021-10-08	fly_165	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	grape_juice	657
2021-10-08	fly_166	D. melanogaster	Gr66a>Kir2.1	female	noni juice vs grape juice	noni_juice	225
